,Unnamed: 0,year,week,windspeed,temp,cloudcover,precip,solarradiation,start_date,end_date,category,unit,price_min,price_max,price,month,season,month_sin,month_cos,week_sin,week_cos,is_heatwave,is_windy,is_rainy,windspeed_lag1,windspeed_lag2,windspeed_lag4,windspeed_rolling_mean_4w,windspeed_rolling_std_4w,windspeed_rolling_max_4w,windspeed_rolling_min_4w,windspeed_trend,temp_lag1,temp_lag2,temp_lag4,temp_rolling_mean_4w,temp_rolling_std_4w,temp_rolling_max_4w,temp_rolling_min_4w,temp_trend,cloudcover_lag1,cloudcover_lag2,cloudcover_lag4,cloudcover_rolling_mean_4w,cloudcover_rolling_std_4w,cloudcover_rolling_max_4w,cloudcover_rolling_min_4w,cloudcover_trend,precip_lag1,precip_lag2,precip_lag4,precip_rolling_mean_4w,precip_rolling_std_4w,precip_rolling_max_4w,precip_rolling_min_4w,precip_trend,solarradiation_lag1,solarradiation_lag2,solarradiation_lag4,solarradiation_rolling_mean_4w,solarradiation_rolling_std_4w,solarradiation_rolling_max_4w,solarradiation_rolling_min_4w,solarradiation_trend,price_lag1,price_lag2,price_lag4,price_rolling_mean_4w,price_rolling_std_4w,price_rolling_max_4w,price_rolling_min_4w,price_trend,price_momentum,price_acceleration,price_volatility,price_rel_4w_avg,price_rel_8w_avg,price_rel_seasonal,season_Winter,season_Spring,season_Summer,season_Fall
243,244,2018,10,0.37084563129691517,0.16934369734040527,0.0459928754364809,-0.293748581053886,-0.2096651313323448,2018-03-05,2018-03-11,I,Euros/kg,1.48,1.91,-0.19652227478782316,3,Winter,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,0,0,1,18.5571428571429,15.3142857142857,18.4571428571429,17.978571428571428,2.4663862683062647,21.1,15.3142857142857,3.1214285714285737,13.4571428571429,11.0857142857143,8.85714285714286,13.389285714285725,2.008193251670328,15.9714285714286,11.0857142857143,2.582142857142875,56.7285714285714,29.5857142857143,33.8571428571429,43.07142857142858,11.112369769979814,56.7285714285714,29.5857142857143,-1.099999999999973,1.09685714285714,0.0008571428571428,0.0511428571428571,0.3342857142857134,0.5134269152264136,1.09685714285714,0.0008571428571428,-0.15957142857142742,108.185714285714,178.328571428571,135.957142857143,148.08214285714251,32.6945571101042,178.328571428571,108.185714285714,22.903571428571496,1.735,1.985,2.45,1.9575,0.3308952502933001,2.415,1.695,-0.26249999999999996,-0.023054755043227737,-0.8169452449567717,0.3308952502933001,0.8659003831417624,0.7477253928866832,1.2229682332899088,True,False,False,False
244,245,2018,11,0.5145156154238748,-0.061126024295304046,0.7466154154320461,-0.3282550856025703,-0.2521875635652826,2018-03-12,2018-03-18,I,Euros/kg,1.56,2.02,-0.108969363175115,3,Winter,1.0,6.123233995736766e-17,0.970941817426052,0.23931566428755804,0,0,1,21.1,18.5571428571429,16.9428571428571,19.200000000000003,2.945699043884617,21.8285714285714,15.3142857142857,2.628571428571398,15.9714285714286,13.4571428571429,13.0428571428571,13.8857142857143,2.135415650406212,15.9714285714286,11.0857142857143,1.1428571428570997,41.9714285714286,56.7285714285714,44.0,44.846428571428575,11.852531375195742,56.7285714285714,29.5857142857143,6.253571428571426,0.174714285714286,1.09685714285714,0.0647142857142857,0.3407499999999991,0.5090456239659771,1.09685714285714,0.0008571428571428,-0.25017857142857053,170.985714285714,108.185714285714,134.828571428571,156.29642857142827,32.380792103945275,178.328571428571,108.185714285714,11.389285714285734,1.695,1.735,2.415,1.80125,0.12854149783889074,1.985,1.695,-0.011249999999999982,0.05604719764011801,-3.431047197640111,0.12854149783889074,0.9937543372657877,0.8430968501619076,1.2915121755686942,True,False,False,False
245,246,2018,12,1.9624836907427134,-0.5395252949633245,-0.5471789463751088,-0.2613511328103846,0.3532508763227436,2018-03-19,2018-03-25,I,Euros/kg,1.57,2.14,-0.04906473944010419,3,Winter,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,0,1,1,21.8285714285714,21.1,15.3142857142857,22.664285714285725,4.559127795807394,29.1714285714286,18.5571428571429,6.507142857142874,15.0285714285714,15.9714285714286,11.0857142857143,14.382142857142876,1.356133710021094,15.9714285714286,13.0714285714286,-1.3107142857142762,51.1,41.9714285714286,29.5857142857143,46.01071428571428,9.925918624702588,56.7285714285714,34.2428571428571,-11.767857142857181,0.0905714285714286,0.174714285714286,0.0008571428571428,0.40396428571428494,0.4667069813733071,1.09685714285714,0.0905714285714286,-0.15024999999999894,167.685714285714,170.985714285714,178.328571428571,165.38214285714275,43.732412013794246,214.671428571429,108.185714285714,49.28928571428625,1.79,1.695,1.985,1.76875,0.06944722216666051,1.855,1.695,0.08624999999999994,0.03631284916201105,-0.352102322846224,0.06944722216666051,1.0487632508833922,0.905154010369015,1.338410662391021,True,False,False,False
246,247,2018,13,0.23844388121911736,0.37187769514146407,-0.34433830490533895,-0.3634060240222825,0.6584551734751668,2018-03-26,2018-04-01,I,Euros/kg,1.21,1.84,-0.35319590609477475,3,Winter,1.0,6.123233995736766e-17,1.0,-1.6081226496766364e-16,0,0,1,29.1714285714286,21.8285714285714,18.5571428571429,23.13214285714285,4.066578146689135,29.1714285714286,20.4285714285714,-2.7035714285714505,13.0714285714286,15.0285714285714,13.4571428571429,15.217857142857149,1.603540937243202,16.8,13.0714285714286,1.582142857142852,34.2428571428571,51.1,56.7285714285714,41.05,7.428099801878443,51.1,34.2428571428571,-4.164285714285697,0.253714285714286,0.0905714285714286,1.09685714285714,0.13096428571428562,0.1072632577474034,0.253714285714286,0.0048571428571428,-0.1261071428571428,214.671428571429,167.685714285714,108.185714285714,197.925,34.42547778039096,238.357142857143,167.685714285714,40.43214285714299,1.855,1.79,1.735,1.7162499999999998,0.14343262065048323,1.855,1.525,-0.19124999999999992,-0.1778975741239892,-5.899025502799104,0.14343262065048323,0.8885651857246905,0.7896440129449838,1.1003106523699768,True,False,False,False
247,248,2018,14,-0.09115196471920088,0.34743393678616274,1.0503281596867788,-0.36539791053273285,0.3215891518895588,2018-04-02,2018-04-08,I,Euros/kg,0.8,1.31,-0.7863524161786994,4,Spring,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,0,0,0,20.4285714285714,29.1714285714286,21.1,22.546428571428574,4.5916572527281305,29.1714285714286,18.7571428571429,-3.7892857142856755,16.8,13.0714285714286,15.9714285714286,15.399999999999999,1.7521609592759213,16.8,13.0714285714286,1.3000000000000007,36.8857142857143,34.2428571428571,41.9714285714286,44.32142857142858,10.296796278719055,55.0571428571429,34.2428571428571,10.735714285714323,0.0048571428571428,0.253714285714286,0.174714285714286,0.08728571428571412,0.11849406541011175,0.253714285714286,0.0,-0.08728571428571412,238.357142857143,214.671428571429,170.985714285714,208.232142857143,29.489265601474486,238.357142857143,167.685714285714,3.9821428571430033,1.525,1.855,1.695,1.55625,0.36337251317804964,1.855,1.055,-0.50125,-0.30819672131147546,0.7324391455539001,0.36337251317804964,0.6779116465863454,0.6004980434009249,1.0626573840912457,False,True,False,False
248,249,2018,15,0.863830870948267,0.05410883652255061,-0.19412658662773352,-0.24875537987665466,0.4044250588368342,2018-04-09,2018-04-15,I,Euros/kg,0.8,1.25,-0.8140007040563967,4,Spring,0.8660254037844387,-0.4999999999999998,0.9709418174260521,-0.2393156642875575,0,1,1,18.7571428571429,20.4285714285714,21.8285714285714,22.98928571428572,4.584762918669667,29.1714285714286,18.7571428571429,0.6107142857142804,16.7,16.8,15.0285714285714,15.51785714285715,1.734616544894853,16.8,13.0714285714286,-0.017857142857149455,55.0571428571429,36.8857142857143,51.1,41.25714285714285,9.391101592233289,55.0571428571429,34.2428571428571,-2.4142857142857537,0.0,0.0048571428571428,0.0905714285714286,0.1357499999999997,0.154468867259334,0.284428571428571,0.0,0.14867857142857127,212.214285714286,238.357142857143,167.685714285714,220.97142857142876,11.889250847479389,238.357142857143,212.214285714286,-2.328571428571763,1.055,1.525,1.79,1.365,0.39891519566611094,1.855,1.025,-0.3400000000000001,-0.028436018957346043,-0.9077341938086112,0.39891519566611094,0.7509157509157508,0.64745361231741,1.0324396385720631,False,True,False,False
249,250,2018,16,0.5708567856697462,0.7210742430743285,-0.09764022744211198,-0.2617612270919479,1.0352665101886862,2018-04-16,2018-04-22,I,Euros/kg,1.01,1.56,-0.5743822091163533,4,Spring,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.35460488704253545,0,0,1,23.6,18.7571428571429,29.1714285714286,21.225,2.094124433470262,23.6,18.7571428571429,0.8892857142856982,15.5,16.7,13.0714285714286,16.80714285714285,1.116633667905108,18.2285714285714,15.5,1.4214285714285495,38.8428571428571,55.0571428571429,34.2428571428571,42.721428571428575,8.329478019758072,55.0571428571429,36.8857142857143,-2.6214285714285737,0.284428571428571,0.0,0.253714285714286,0.13549999999999973,0.1542149087969088,0.284428571428571,0.0,0.11721428571428627,218.642857142857,212.214285714286,214.671428571429,234.2035714285715,24.88800321604033,267.6,212.214285714286,33.396428571428515,1.025,1.055,1.855,1.2225,0.23271943050233543,1.525,1.025,0.0625,0.25365853658536586,-9.92032520325201,0.23271943050233543,1.0511247443762781,0.8591725867112411,1.294326766404977,False,True,False,False
250,251,2018,17,1.0553908497842266,1.1505859970317718,0.26418361950395475,0.0810190073976128,0.5715695110771316,2018-04-23,2018-04-29,I,Euros/kg,1.0,1.6,-0.5605580651775045,4,Spring,0.8660254037844387,-0.4999999999999998,0.8854560256532099,-0.4647231720437685,0,1,1,22.1142857142857,23.6,20.4285714285714,22.2607142857143,2.5448995275731927,24.5714285714286,18.7571428571429,2.310714285714301,18.2285714285714,15.5,16.8,17.603571428571424,1.941364097180921,19.9857142857143,15.5,2.3821428571428775,40.1,38.8428571428571,36.8857142857143,44.70357142857142,7.365449540847855,55.0571428571429,38.8428571428571,0.11071428571428044,0.252714285714286,0.284428571428571,0.0048571428571428,0.4064285714285716,0.4722341025583064,1.08857142857143,0.0,0.6821428571428585,267.6,218.642857142857,238.357142857143,232.51785714285725,24.740815309461244,267.6,212.214285714286,-0.9035714285712402,1.285,1.025,1.525,1.16625,0.14642261892662362,1.3,1.025,0.13375000000000004,0.011673151750972943,-0.9539808440586643,0.14642261892662362,1.114683815648446,0.9019947961838681,1.309435639164568,False,True,False,False
251,252,2018,18,0.0018109661864686175,0.6058393822564982,0.0010390035431802336,-0.22784057151692594,1.1002466771939956,2018-04-30,2018-05-06,I,Euros/kg,1.03,1.66,-0.5190856333609586,4,Spring,0.8660254037844387,-0.4999999999999998,0.8229838658936565,-0.5680647467311557,0,0,1,24.5714285714286,22.1142857142857,18.7571428571429,22.378571428571426,2.3304403834796186,24.5714285714286,19.2285714285714,-3.150000000000027,19.9857142857143,18.2285714285714,16.7,17.867857142857147,1.8470191097648951,19.9857142857143,15.5,-0.11071428571424846,44.8142857142857,40.1,55.0571428571429,41.28571428571428,2.571269836370409,44.8142857142857,38.8428571428571,0.10000000000002274,1.08857142857143,0.252714285714286,0.0,0.49028571428571427,0.400309828987092,1.08857142857143,0.252714285714286,-0.15485714285714325,231.614285714286,267.6,212.214285714286,247.625,26.590733834370553,272.642857142857,218.642857142857,25.017857142856997,1.3,1.285,1.055,1.23875,0.14476273691802743,1.345,1.025,0.10624999999999996,0.03461538461538449,1.965384615384559,0.14476273691802743,1.0857719475277496,0.962432915921288,1.3547622574433416,False,True,False,False
252,253,2018,19,0.24971211526830017,1.2309012030563247,0.022967721539912625,0.43112235405794397,0.9111967295609857,2018-05-07,2018-05-13,I,Euros/kg,0.78,1.5,-0.7080156005252237,5,Spring,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795,0,0,1,19.2285714285714,24.5714285714286,23.6,21.6,2.3064535311071506,24.5714285714286,19.2285714285714,-1.1142857142856997,17.7571428571429,19.9857142857143,15.5,19.071428571428573,1.2673288637838132,20.3142857142857,17.7571428571429,1.242857142857126,41.3857142857143,44.8142857142857,38.8428571428571,41.99285714285715,2.001275103731627,44.8142857142857,40.1,-0.3214285714285481,0.335428571428571,1.08857142857143,0.284428571428571,0.904749999999999,0.787305137320784,1.94228571428571,0.252714285714286,1.037535714285711,272.642857142857,231.614285714286,218.642857142857,257.457142857143,18.272029849743728,272.642857142857,231.614285714286,0.5142857142859611,1.345,1.3,1.025,1.2675,0.08874119674648338,1.345,1.14,-0.12750000000000017,-0.15241635687732347,-5.403139198678249,0.08874119674648338,0.8994082840236685,0.8660968660968661,1.018376722817764,False,True,False,False
